Curious,Adventure,Into the Wild by Jon Krakauer
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Bored,Action,The Dark Knight Returns by Frank Miller
Angry,Action,The Bourne Identity by Robert Ludlum
Relaxed,Fiction,1984 by George Orwell
Bored,Romance,The Time Traveler's Wife by Audrey Niffenegger
Anxious,Romance,Pride and Prejudice by Jane Austen
Bored,Romance,It Ends with Us by Colleen Hoover
Hopeful,Fantasy,The Black Prism by Brent Weeks
Happy,Fiction,The Picture of Dorian Gray by Oscar Wilde
Excited,Thriller,Gone Girl by Gillian Flynn
Bored,Non-Fiction,Sapiens by Yuval Noah Harari
Angry,Fantasy,The Name of the Wind by Patrick Rothfuss
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Thriller,Sharp Objects by Gillian Flynn
Hopeful,Fiction,The Great Gatsby by F. Scott Fitzgerald
Hopeful,Fantasy,The Way of Kings by Brandon Sanderson
Sad,Adventure,The Hobbit by J.R.R. Tolkien
Relaxed,Adventure,The Call of the Wild by Jack London
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Biography,Steve Jobs by Walter Isaacson
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Bored,Thriller,Sharp Objects by Gillian Flynn
Bored,Mystery,The Woman in White by Wilkie Collins
Excited,Romance,The Time Traveler's Wife by Audrey Niffenegger
Sad,Romance,The Rosie Project by Graeme Simsion
Sad,Action,The Bourne Identity by Robert Ludlum
Bored,Thriller,Sharp Objects by Gillian Flynn
Excited,Thriller,Gone Girl by Gillian Flynn
Relaxed,Action,Red Rising by Pierce Brown
Curious,Thriller,The Girl on the Train by Paula Hawkins
Curious,Thriller,The Girl on the Train by Paula Hawkins
Sad,Non-Fiction,Quiet by Susan Cain
Relaxed,Fantasy,The Way of Kings by Brandon Sanderson
Angry,Fiction,The Great Gatsby by F. Scott Fitzgerald
Angry,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Romance,It Ends with Us by Colleen Hoover
Hopeful,Mystery,The Secret History by Donna Tartt
Anxious,Biography,Steve Jobs by Walter Isaacson
Curious,Mystery,The Big Sleep by Raymond Chandler
Angry,Action,The Hunger Games by Suzanne Collins
Angry,Biography,The Zookeeper's Wife by Diane Ackerman
Excited,Action,The Dark Knight Returns by Frank Miller
Anxious,Action,John Wick by Chad Stahelski
Relaxed,Non-Fiction,Becoming by Michelle Obama
Bored,Biography,Steve Jobs by Walter Isaacson
Curious,Action,The Bourne Identity by Robert Ludlum
Excited,Fiction,Of Mice and Men by John Steinbeck
Sad,Romance,Pride and Prejudice by Jane Austen
Angry,Action,The Bourne Identity by Robert Ludlum
Hopeful,Fantasy,A Game of Thrones by George R.R. Martin
Anxious,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Thriller,The Silent Patient by Alex Michaelides
Relaxed,Mystery,The Woman in White by Wilkie Collins
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Excited,Thriller,Gone Girl by Gillian Flynn
Hopeful,Thriller,Gone Girl by Gillian Flynn
Hopeful,Fiction,1984 by George Orwell
Happy,Non-Fiction,Quiet by Susan Cain
Curious,Non-Fiction,Becoming by Michelle Obama
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Action,John Wick by Chad Stahelski
Sad,Biography,Long Walk to Freedom by Nelson Mandela
Excited,Mystery,The Woman in White by Wilkie Collins
Anxious,Mystery,The Secret History by Donna Tartt
Curious,Fantasy,The Black Prism by Brent Weeks
Hopeful,Romance,Me Before You by Jojo Moyes
Relaxed,Non-Fiction,Quiet by Susan Cain
Excited,Biography,Steve Jobs by Walter Isaacson
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Relaxed,Non-Fiction,Quiet by Susan Cain
Curious,Fiction,The Catcher in the Rye by J.D. Salinger
Sad,Romance,Pride and Prejudice by Jane Austen
Happy,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Angry,Romance,Pride and Prejudice by Jane Austen
Sad,Non-Fiction,Quiet by Susan Cain
Hopeful,Mystery,And Then There Were None by Agatha Christie
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Mystery,The Woman in White by Wilkie Collins
Curious,Thriller,Before I Go to Sleep by S.J. Watson
Hopeful,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Mystery,And Then There Were None by Agatha Christie
Angry,Non-Fiction,Outliers by Malcolm Gladwell
Sad,Romance,Pride and Prejudice by Jane Austen
Anxious,Action,John Wick by Chad Stahelski
Anxious,Action,The Hunger Games by Suzanne Collins
Happy,Romance,Pride and Prejudice by Jane Austen
Sad,Fantasy,The Way of Kings by Brandon Sanderson
Relaxed,Action,John Wick by Chad Stahelski
Excited,Fantasy,A Game of Thrones by George R.R. Martin
Anxious,Non-Fiction,Outliers by Malcolm Gladwell
Hopeful,Action,The Dark Knight Returns by Frank Miller
Relaxed,Mystery,The Big Sleep by Raymond Chandler
Angry,Action,Red Rising by Pierce Brown
Curious,Action,The Dark Knight Returns by Frank Miller
Curious,Adventure,The Call of the Wild by Jack London
Sad,Romance,It Ends with Us by Colleen Hoover
Happy,Non-Fiction,Quiet by Susan Cain
Sad,Mystery,The Secret History by Donna Tartt
Curious,Non-Fiction,Quiet by Susan Cain
Hopeful,Fantasy,The Way of Kings by Brandon Sanderson
Hopeful,Thriller,The Girl on the Train by Paula Hawkins
Relaxed,Romance,It Ends with Us by Colleen Hoover
Curious,Mystery,The Secret History by Donna Tartt
Curious,Adventure,Moby Dick by Herman Melville
Sad,Non-Fiction,The Power of Habit by Charles Duhigg
Relaxed,Romance,The Rosie Project by Graeme Simsion
Angry,Non-Fiction,The Power of Habit by Charles Duhigg
Hopeful,Mystery,The Secret History by Donna Tartt
Sad,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Fantasy,The Name of the Wind by Patrick Rothfuss
Happy,Non-Fiction,Becoming by Michelle Obama
Relaxed,Non-Fiction,The Power of Habit by Charles Duhigg
Sad,Fiction,Of Mice and Men by John Steinbeck
Angry,Fiction,The Picture of Dorian Gray by Oscar Wilde
Angry,Romance,Me Before You by Jojo Moyes
Sad,Romance,The Time Traveler's Wife by Audrey Niffenegger
Hopeful,Non-Fiction,Quiet by Susan Cain
Sad,Action,The Hunger Games by Suzanne Collins
Relaxed,Thriller,Gone Girl by Gillian Flynn
Angry,Thriller,Before I Go to Sleep by S.J. Watson
Anxious,Fantasy,The Black Prism by Brent Weeks
Hopeful,Fiction,The Great Gatsby by F. Scott Fitzgerald
Bored,Action,The Dark Knight Returns by Frank Miller
Hopeful,Mystery,And Then There Were None by Agatha Christie
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Thriller,Sharp Objects by Gillian Flynn
Curious,Adventure,Into the Wild by Jon Krakauer
Hopeful,Non-Fiction,Outliers by Malcolm Gladwell
Happy,Action,The Hunger Games by Suzanne Collins
Relaxed,Action,The Dark Knight Returns by Frank Miller
Curious,Mystery,The Cuckoo's Calling by Robert Galbraith
Happy,Adventure,The Martian by Andy Weir
Bored,Biography,Long Walk to Freedom by Nelson Mandela
Sad,Romance,The Rosie Project by Graeme Simsion
Sad,Non-Fiction,Quiet by Susan Cain
Relaxed,Mystery,And Then There Were None by Agatha Christie
Sad,Non-Fiction,Outliers by Malcolm Gladwell
Bored,Action,The Dark Knight Returns by Frank Miller
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Anxious,Fiction,The Great Gatsby by F. Scott Fitzgerald
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Excited,Thriller,Gone Girl by Gillian Flynn
Anxious,Biography,The Zookeeper's Wife by Diane Ackerman
Relaxed,Biography,The Diary of a Young Girl by Anne Frank
Curious,Adventure,The Martian by Andy Weir
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Angry,Mystery,The Big Sleep by Raymond Chandler
Excited,Adventure,The Call of the Wild by Jack London
Hopeful,Fiction,1984 by George Orwell
Anxious,Fantasy,The Name of the Wind by Patrick Rothfuss
Curious,Action,The Hunger Games by Suzanne Collins
Bored,Romance,The Rosie Project by Graeme Simsion
Excited,Thriller,Sharp Objects by Gillian Flynn
Angry,Romance,The Time Traveler's Wife by Audrey Niffenegger
Relaxed,Thriller,Sharp Objects by Gillian Flynn
Anxious,Adventure,Moby Dick by Herman Melville
Relaxed,Thriller,Before I Go to Sleep by S.J. Watson
Relaxed,Mystery,The Secret History by Donna Tartt
Bored,Biography,The Diary of a Young Girl by Anne Frank
Happy,Fantasy,The Name of the Wind by Patrick Rothfuss
Hopeful,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Action,The Bourne Identity by Robert Ludlum
Sad,Thriller,Sharp Objects by Gillian Flynn
Excited,Biography,The Zookeeper's Wife by Diane Ackerman
Anxious,Non-Fiction,The Power of Habit by Charles Duhigg
Curious,Mystery,And Then There Were None by Agatha Christie
Excited,Fiction,The Picture of Dorian Gray by Oscar Wilde
Anxious,Thriller,Sharp Objects by Gillian Flynn
Excited,Adventure,The Martian by Andy Weir
Curious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Anxious,Thriller,Sharp Objects by Gillian Flynn
Happy,Thriller,The Silent Patient by Alex Michaelides
Happy,Fiction,Of Mice and Men by John Steinbeck
Curious,Thriller,Gone Girl by Gillian Flynn
Angry,Adventure,Into the Wild by Jon Krakauer
Bored,Biography,The Glass Castle by Jeanette Walls
Happy,Fiction,The Great Gatsby by F. Scott Fitzgerald
Anxious,Romance,Pride and Prejudice by Jane Austen
Hopeful,Biography,The Glass Castle by Jeanette Walls
Bored,Adventure,The Call of the Wild by Jack London
Happy,Action,The Dark Knight Returns by Frank Miller
Bored,Thriller,Before I Go to Sleep by S.J. Watson
Angry,Romance,It Ends with Us by Colleen Hoover
Relaxed,Mystery,The Woman in White by Wilkie Collins
Sad,Fiction,The Picture of Dorian Gray by Oscar Wilde
Sad,Fantasy,A Game of Thrones by George R.R. Martin
Hopeful,Mystery,And Then There Were None by Agatha Christie
Curious,Action,John Wick by Chad Stahelski
Bored,Biography,Long Walk to Freedom by Nelson Mandela
Happy,Action,The Dark Knight Returns by Frank Miller
Sad,Thriller,Before I Go to Sleep by S.J. Watson
Bored,Adventure,The Hobbit by J.R.R. Tolkien
Sad,Fiction,Of Mice and Men by John Steinbeck
Excited,Mystery,The Secret History by Donna Tartt
Anxious,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Relaxed,Fantasy,The Black Prism by Brent Weeks
Relaxed,Fantasy,The Black Prism by Brent Weeks
Happy,Thriller,Before I Go to Sleep by S.J. Watson
Excited,Fiction,The Catcher in the Rye by J.D. Salinger
Happy,Non-Fiction,Quiet by Susan Cain
Angry,Non-Fiction,Becoming by Michelle Obama
Angry,Romance,Pride and Prejudice by Jane Austen
Relaxed,Fantasy,The Black Prism by Brent Weeks
Hopeful,Romance,Pride and Prejudice by Jane Austen
Happy,Non-Fiction,Sapiens by Yuval Noah Harari
Curious,Biography,Long Walk to Freedom by Nelson Mandela
Hopeful,Non-Fiction,Sapiens by Yuval Noah Harari
Sad,Fiction,Of Mice and Men by John Steinbeck
Hopeful,Non-Fiction,Outliers by Malcolm Gladwell
Relaxed,Non-Fiction,Outliers by Malcolm Gladwell
Curious,Non-Fiction,Outliers by Malcolm Gladwell
Hopeful,Biography,Steve Jobs by Walter Isaacson
Anxious,Thriller,Sharp Objects by Gillian Flynn
Bored,Mystery,The Woman in White by Wilkie Collins
Anxious,Non-Fiction,Becoming by Michelle Obama
Sad,Romance,The Rosie Project by Graeme Simsion
Excited,Thriller,The Girl on the Train by Paula Hawkins
Happy,Mystery,And Then There Were None by Agatha Christie
Angry,Non-Fiction,Becoming by Michelle Obama
Anxious,Thriller,The Silent Patient by Alex Michaelides
Bored,Fiction,Of Mice and Men by John Steinbeck
Bored,Non-Fiction,Becoming by Michelle Obama
Angry,Thriller,The Silent Patient by Alex Michaelides
Bored,Action,The Bourne Identity by Robert Ludlum
Excited,Action,The Hunger Games by Suzanne Collins
Relaxed,Mystery,The Secret History by Donna Tartt
Angry,Action,John Wick by Chad Stahelski
Relaxed,Adventure,The Call of the Wild by Jack London
Sad,Fantasy,Harry Potter and the Sorcerer's Stone by J.K. Rowling
Hopeful,Biography,The Diary of a Young Girl by Anne Frank
Relaxed,Fiction,The Catcher in the Rye by J.D. Salinger
Hopeful,Fiction,The Great Gatsby by F. Scott Fitzgerald
Happy,Romance,Me Before You by Jojo Moyes
